Company,TypeName,Inches,Ram,Weight,Touchscreen,IPS,PPI,Cpu_brand,HDD,SSD,Gpu_brand,Gpu_name,OpSys,Price
Asus,Ultrabook,13.3,8,1.59,0,0,100.6,Intel Core i7,0,256,Intel Integrated,Intel Iris Xe Graphics,Linux,61000.0
Dell,Ultrabook,11.8,16,2.13,0,1,103.7,Intel Core i3,0,1024,Intel Integrated,Intel UHD Graphics,Linux,58900.0
HP,Netbook,14.2,32,1.47,0,1,116.6,Intel Core i3,500,2048,Intel Integrated,Intel Iris Xe Graphics,Windows,77100.0
Dell,Netbook,16.4,16,1.88,0,0,130.0,Intel Core i7,500,512,Intel Integrated,Intel Iris Xe Graphics,Windows,64700.0
Asus,Ultrabook,15.8,4,2.18,0,0,141.0,Intel Core i3,0,128,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,72900.0
Lenovo,Notebook,14.1,8,2.27,0,0,145.0,Intel Core i7,1024,512,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,77600.0
MSI,2 in 1 Convertible,16.5,16,2.62,0,1,115.4,AMD Ryzen 5,500,1024,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,83300.0
HP,Notebook,15.1,8,2.35,0,1,140.9,Intel Core i5,500,512,Intel Integrated,Intel UHD Graphics,Linux,45600.0
Acer,2 in 1 Convertible,13.2,8,2.53,1,1,149.5,Intel Core i5,0,1024,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,97900.0
HP,Notebook,14.6,16,1.84,0,0,106.4,AMD Ryzen 7,0,1024,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,90400.0
Asus,Ultrabook,13.3,8,2.38,0,1,194.8,Intel Core i3,0,512,AMD Radeon,AMD Radeon Vega 8,Windows,65900.0
MSI,Gaming,16.4,32,2.69,0,0,147.6,AMD Ryzen 5,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,98000.0
HP,2 in 1 Convertible,17.0,64,2.53,0,0,193.3,Intel Core i7,1024,512,Intel Integrated,Intel UHD Graphics,Windows,127000.0
Acer,Gaming,16.3,16,2.39,0,0,157.3,Intel Core i3,0,512,Nvidia GeForce,Nvidia GeForce RTX 4060,No OS,79400.0
Dell,2 in 1 Convertible,14.6,64,1.24,0,1,162.8,Intel Core i7,0,512,AMD Radeon,AMD Radeon RX 6500M,Windows,130300.0
MSI,Notebook,13.8,8,1.74,0,1,146.6,Intel Core i5,0,256,Intel Integrated,Intel UHD Graphics,Windows,58400.0
Lenovo,Notebook,16.2,16,1.41,1,1,214.0,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,84700.0
Acer,Ultrabook,17.2,8,2.52,0,1,168.3,Intel Core i3,0,128,Intel Integrated,Intel UHD Graphics,Linux,40500.0
Acer,Netbook,17.3,16,2.56,1,1,129.7,Intel Core i5,2048,256,AMD Radeon,AMD Radeon RX 6500M,Linux,41200.0
Acer,Notebook,16.3,64,1.27,0,1,157.6,Intel Core i5,500,1024,Nvidia GeForce,Nvidia GeForce RTX 3060,No OS,120500.0
Asus,Gaming,14.8,4,2.48,0,0,209.3,Intel Core i5,500,512,Nvidia GeForce,Nvidia GeForce GTX 1650,No OS,65400.0
Lenovo,Netbook,14.4,8,2.3,0,0,115.5,Intel Core i3,0,256,AMD Radeon,AMD Radeon Vega 8,Linux,28200.0
Lenovo,Gaming,12.6,8,1.18,0,0,121.2,Intel Core i3,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,55600.0
Dell,Ultrabook,15.5,16,1.4,0,0,204.2,Intel Core i3,2048,512,AMD Radeon,AMD Radeon RX 6500M,Windows,70800.0
Acer,Ultrabook,15.7,4,1.38,0,1,201.3,Intel Core i7,1024,128,Intel Integrated,Intel UHD Graphics,Windows,65300.0
Dell,Notebook,12.8,8,1.33,1,1,181.5,AMD Ryzen 5,0,512,AMD Radeon,AMD Radeon RX 6500M,Windows,58200.0
Asus,Ultrabook,13.8,8,2.81,0,0,159.8,Intel Core i5,0,1024,Intel Integrated,Intel Iris Xe Graphics,Windows,68000.0
HP,Notebook,16.7,4,2.1,0,1,113.4,Intel Core i5,1024,2048,Nvidia GeForce,Nvidia GeForce MX450,Windows,67400.0
Asus,2 in 1 Convertible,15.7,16,2.01,1,0,216.2,Intel Core i7,500,256,AMD Radeon,AMD Radeon Vega 8,Windows,83100.0
Dell,Ultrabook,14.6,4,1.74,0,0,218.8,Intel Core i5,0,1024,Nvidia GeForce,Nvidia GeForce MX450,Windows,66400.0
Lenovo,Gaming,16.1,8,2.72,0,0,212.0,AMD Ryzen 7,0,256,Nvidia GeForce,Nvidia GeForce RTX 3060,Linux,94900.0
HP,Notebook,12.5,32,2.36,0,0,205.3,Intel Core i5,0,1024,Intel Integrated,Intel UHD Graphics,Windows,77900.0
Lenovo,Ultrabook,14.9,8,1.84,0,0,127.5,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,80900.0
Lenovo,2 in 1 Convertible,16.1,8,1.69,0,1,104.0,Intel Core i7,1024,1024,Intel Integrated,Intel Iris Xe Graphics,Windows,83400.0
HP,Ultrabook,15.0,16,2.13,0,0,192.6,Intel Core i3,500,512,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,70400.0
Lenovo,2 in 1 Convertible,12.5,16,2.06,0,0,204.7,AMD Ryzen 7,500,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Mac,87400.0
HP,Notebook,12.0,8,2.7,1,0,128.3,Intel Core i5,1024,256,Intel Integrated,Intel Iris Xe Graphics,Windows,44300.0
Dell,Notebook,16.2,4,1.73,0,0,210.4,Intel Core i5,500,256,AMD Radeon,AMD Radeon RX 6600M,Windows,64500.0
Apple,Notebook,14.9,8,1.16,0,1,133.3,Intel Core i5,0,256,Nvidia GeForce,Nvidia GeForce MX450,Windows,90500.0
MSI,Ultrabook,15.0,4,2.52,0,1,124.6,Intel Core i5,0,128,AMD Radeon,AMD Radeon RX 6500M,Windows,66300.0
Asus,Ultrabook,14.6,16,2.04,0,0,140.1,Intel Core i3,0,1024,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,78400.0
Dell,Notebook,12.9,16,1.14,0,1,121.4,Intel Core i7,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,74300.0
Acer,Netbook,17.0,8,1.87,0,0,176.0,Intel Core i7,0,1024,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,81900.0
HP,Ultrabook,13.1,16,1.88,0,0,135.3,AMD Ryzen 7,0,1024,Nvidia GeForce,Nvidia GeForce RTX 3050,Linux,88400.0
Acer,Ultrabook,11.7,8,2.13,0,0,116.7,AMD Ryzen 5,0,2048,Intel Integrated,Intel UHD Graphics,Windows,73700.0
Acer,Ultrabook,12.0,8,2.05,0,0,116.8,Intel Core i5,500,256,Intel Integrated,Intel UHD Graphics,Windows,59100.0
Dell,2 in 1 Convertible,14.0,8,2.09,0,0,188.6,Intel Core i3,0,512,Intel Integrated,Intel Iris Xe Graphics,Windows,56100.0
Asus,2 in 1 Convertible,13.9,64,1.36,0,0,164.8,Intel Core i5,1024,1024,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,134200.0
Acer,Notebook,12.0,16,2.04,0,0,129.6,AMD Ryzen 5,500,1024,Intel Integrated,Intel Iris Xe Graphics,Windows,64000.0
MSI,Gaming,15.5,16,1.26,1,1,176.7,AMD Ryzen 5,500,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,99500.0
HP,Netbook,17.0,4,2.44,1,0,168.2,AMD Ryzen 7,500,128,Intel Integrated,Intel Iris Xe Graphics,Windows,55100.0
Acer,Notebook,14.2,16,2.32,0,0,167.3,Intel Core i5,0,1024,Intel Integrated,Intel UHD Graphics,Windows,58500.0
HP,Ultrabook,16.1,8,2.29,1,1,128.0,Intel Core i3,0,1024,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,101800.0
HP,Notebook,12.1,8,2.09,0,0,156.1,Intel Core i5,500,1024,AMD Radeon,AMD Radeon Vega 8,Linux,50800.0
Dell,Notebook,13.8,8,2.92,0,0,170.6,AMD Ryzen 7,500,1024,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,73700.0
Asus,Ultrabook,12.9,8,1.52,0,1,142.0,Intel Core i3,1024,2048,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,87200.0
HP,Ultrabook,14.4,64,2.81,0,1,189.7,Intel Core i3,1024,1024,AMD Radeon,AMD Radeon RX 6600M,Windows,121800.0
Apple,Notebook,13.5,32,2.5,0,0,100.6,Intel Core i7,0,128,Nvidia GeForce,Nvidia GeForce RTX 4060,Linux,139100.0
MSI,Notebook,16.6,16,2.82,0,1,165.3,AMD Ryzen 5,0,512,Nvidia GeForce,Nvidia GeForce RTX 3060,Linux,85000.0
Acer,Gaming,15.5,16,2.53,0,1,204.6,Intel Core i3,0,1024,Intel Integrated,Intel Iris Xe Graphics,Linux,78200.0
Dell,Ultrabook,15.9,8,1.47,0,0,167.2,Intel Core i3,0,256,Nvidia GeForce,Nvidia GeForce RTX 3050,Mac,66900.0
HP,Gaming,16.9,8,2.88,0,0,136.1,Intel Core i7,500,128,Intel Integrated,Intel Iris Xe Graphics,Windows,75400.0
Apple,Netbook,15.5,8,2.33,0,0,107.9,AMD Ryzen 5,1024,256,Intel Integrated,Intel UHD Graphics,Windows,75200.0
Dell,Gaming,15.6,8,1.26,0,1,132.8,AMD Ryzen 7,0,256,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,96700.0
HP,Notebook,17.2,8,2.8,0,0,103.7,Intel Core i7,1024,256,AMD Radeon,AMD Radeon RX 6500M,Windows,65500.0
Dell,Gaming,13.3,32,2.94,0,0,100.1,Intel Core i7,0,512,AMD Radeon,AMD Radeon Vega 8,Windows,88300.0
Asus,Notebook,15.0,8,2.97,0,0,181.7,Intel Core i5,500,2048,Nvidia GeForce,Nvidia GeForce MX450,Linux,66000.0
HP,Netbook,12.4,16,2.27,0,1,101.2,Intel Core i5,0,512,Intel Integrated,Intel UHD Graphics,Linux,47200.0
HP,Notebook,17.2,8,2.42,1,0,180.4,AMD Ryzen 7,1024,256,AMD Radeon,AMD Radeon Vega 8,Windows,66900.0
Apple,Gaming,16.2,8,2.65,0,1,165.7,AMD Ryzen 5,500,512,AMD Radeon,AMD Radeon RX 6500M,Windows,119900.0
Asus,Ultrabook,15.3,16,2.27,0,0,189.3,AMD Ryzen 5,0,512,Intel Integrated,Intel Iris Xe Graphics,Windows,72300.0
Dell,Gaming,12.0,4,1.59,0,1,187.3,Intel Core i7,0,512,Intel Integrated,Intel Iris Xe Graphics,Windows,85200.0
Lenovo,Ultrabook,15.0,4,1.85,0,1,195.2,Intel Core i7,0,2048,Intel Integrated,Intel UHD Graphics,Windows,97800.0
Dell,Gaming,16.8,8,1.55,1,0,202.5,Intel Core i5,1024,256,Intel Integrated,Intel Iris Xe Graphics,Windows,82400.0
Asus,Notebook,15.3,8,1.86,1,0,170.6,Intel Core i7,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,64200.0
HP,2 in 1 Convertible,14.1,8,2.27,0,0,120.1,Intel Core i3,500,512,AMD Radeon,AMD Radeon Vega 8,Windows,42700.0
Lenovo,2 in 1 Convertible,14.8,16,1.16,1,0,127.7,Intel Core i3,0,512,Intel Integrated,Intel UHD Graphics,Windows,58300.0
Dell,Netbook,17.1,4,2.91,0,1,154.6,Intel Core i7,500,512,Intel Integrated,Intel Iris Xe Graphics,Windows,56800.0
Dell,2 in 1 Convertible,15.8,8,1.46,0,0,128.1,AMD Ryzen 7,500,256,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,87000.0
Apple,Ultrabook,11.8,32,2.41,0,0,179.1,Intel Core i5,0,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,133500.0
HP,2 in 1 Convertible,17.3,16,1.27,0,0,178.1,AMD Ryzen 5,0,1024,Nvidia GeForce,Nvidia GeForce RTX 4060,Mac,102300.0
Dell,Ultrabook,11.6,8,1.8,0,1,146.6,Intel Core i5,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,63500.0
Dell,Gaming,15.9,16,2.13,1,1,209.7,AMD Ryzen 5,0,256,AMD Radeon,AMD Radeon RX 6600M,Windows,98000.0
Acer,Gaming,17.0,4,1.47,0,1,207.8,Intel Core i5,0,1024,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,91600.0
Lenovo,Notebook,13.2,8,2.63,0,0,173.2,Intel Core i7,0,256,Intel Integrated,Intel UHD Graphics,Windows,58700.0
Dell,Notebook,16.1,8,2.84,0,0,197.9,Intel Core i5,0,512,Intel Integrated,Intel Iris Xe Graphics,Mac,53200.0
Apple,Notebook,12.8,16,1.88,1,1,142.4,Intel Core i5,0,1024,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,132400.0
Dell,Ultrabook,12.5,8,2.75,0,0,121.4,Intel Core i5,0,256,AMD Radeon,AMD Radeon Vega 8,Windows,59800.0
Asus,Ultrabook,17.2,8,2.42,0,0,186.1,Intel Core i7,0,2048,Intel Integrated,Intel Iris Xe Graphics,Windows,94600.0
HP,Gaming,15.0,8,1.8,0,1,153.1,AMD Ryzen 5,0,512,AMD Radeon,AMD Radeon RX 6500M,Windows,77000.0
Asus,Notebook,14.2,8,1.2,0,0,219.5,Intel Core i5,500,256,Intel Integrated,Intel UHD Graphics,Windows,49300.0
Lenovo,Notebook,14.2,16,1.76,0,1,211.3,Intel Core i5,0,256,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,83200.0
Asus,Notebook,13.1,16,2.74,0,0,119.1,Intel Core i3,0,256,Intel Integrated,Intel UHD Graphics,Windows,43500.0
HP,Notebook,14.1,16,2.08,1,0,219.1,AMD Ryzen 5,1024,256,Intel Integrated,Intel Iris Xe Graphics,Windows,66500.0
Asus,Ultrabook,15.7,8,1.5,1,0,102.7,Intel Core i5,2048,256,AMD Radeon,AMD Radeon RX 6500M,Linux,66300.0
Asus,Gaming,12.6,16,1.86,0,0,108.2,Intel Core i3,2048,256,AMD Radeon,AMD Radeon Vega 8,No OS,65200.0
Apple,Notebook,16.5,4,1.13,0,0,146.4,Intel Core i7,0,256,AMD Radeon,AMD Radeon RX 6500M,Windows,98200.0
Dell,Notebook,12.2,16,1.22,0,1,197.7,Intel Core i7,500,256,AMD Radeon,AMD Radeon RX 6600M,Windows,80000.0
Acer,Ultrabook,15.3,8,2.1,0,0,146.4,AMD Ryzen 7,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,61400.0
Lenovo,Notebook,11.7,8,2.95,1,1,158.5,Intel Core i3,0,512,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,76600.0
Dell,Notebook,15.8,16,1.81,0,0,194.2,AMD Ryzen 5,1024,2048,Intel Integrated,Intel UHD Graphics,Mac,76800.0
MSI,Notebook,16.1,32,2.04,0,0,127.2,AMD Ryzen 5,1024,512,Intel Integrated,Intel Iris Xe Graphics,Windows,79700.0
Asus,Notebook,12.1,16,1.24,0,0,214.8,Intel Core i7,0,256,Intel Integrated,Intel UHD Graphics,No OS,60700.0
Lenovo,Ultrabook,16.3,4,1.91,0,0,207.9,AMD Ryzen 5,2048,256,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,80800.0
Asus,Gaming,15.3,16,1.18,1,1,135.1,AMD Ryzen 7,500,512,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,108200.0
HP,Ultrabook,13.8,8,1.62,1,1,159.5,Intel Core i3,500,2048,Intel Integrated,Intel UHD Graphics,Linux,77400.0
Apple,Notebook,15.9,16,2.7,0,1,178.7,Intel Core i5,2048,512,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,134800.0
Dell,Netbook,14.4,8,1.75,0,1,189.2,Intel Core i7,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,57400.0
Acer,Notebook,14.2,4,1.57,0,1,111.9,Intel Core i5,0,1024,AMD Radeon,AMD Radeon RX 6500M,Windows,52300.0
Acer,Ultrabook,11.6,16,1.17,0,0,215.0,Intel Core i5,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,64800.0
Dell,Notebook,15.3,16,1.51,0,1,100.2,Intel Core i5,0,128,Intel Integrated,Intel UHD Graphics,Windows,51600.0
Asus,Notebook,14.9,16,2.17,0,1,196.6,Intel Core i5,0,1024,Intel Integrated,Intel Iris Xe Graphics,Windows,80600.0
Acer,Netbook,12.8,32,2.09,0,0,188.3,Intel Core i5,0,256,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,72200.0
Asus,Ultrabook,12.6,16,2.98,0,1,214.0,Intel Core i5,2048,512,Intel Integrated,Intel UHD Graphics,Windows,76000.0
Acer,Notebook,14.6,8,2.89,0,0,204.7,AMD Ryzen 5,1024,256,AMD Radeon,AMD Radeon Vega 8,Windows,44000.0
Apple,2 in 1 Convertible,16.0,4,1.21,0,0,147.9,AMD Ryzen 7,0,512,Intel Integrated,Intel Iris Xe Graphics,Windows,106000.0
HP,Notebook,16.8,8,1.62,0,0,193.2,Intel Core i3,0,512,Intel Integrated,Intel Iris Xe Graphics,Windows,40900.0
Acer,Notebook,12.9,16,2.14,0,1,147.2,AMD Ryzen 5,500,1024,AMD Radeon,AMD Radeon Vega 8,Windows,57100.0
Asus,Notebook,14.8,16,2.95,0,0,113.7,Intel Core i5,0,256,Nvidia GeForce,Nvidia GeForce MX450,Windows,52300.0
Asus,Ultrabook,12.1,16,2.02,0,1,202.0,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,105400.0
Lenovo,2 in 1 Convertible,14.2,4,2.59,0,0,119.8,Intel Core i5,0,1024,Intel Integrated,Intel UHD Graphics,Windows,55900.0
MSI,Ultrabook,15.9,16,2.15,0,0,133.9,Intel Core i5,0,1024,AMD Radeon,AMD Radeon RX 6600M,Windows,88400.0
Acer,Netbook,12.8,16,1.65,0,1,176.1,AMD Ryzen 5,1024,256,AMD Radeon,AMD Radeon RX 6500M,Windows,50800.0
Asus,Notebook,16.7,8,2.06,0,0,143.6,Intel Core i7,0,1024,Nvidia GeForce,Nvidia GeForce RTX 3050,Linux,77500.0
Acer,Ultrabook,17.1,8,2.97,0,1,119.9,AMD Ryzen 5,0,512,Intel Integrated,Intel UHD Graphics,Windows,54100.0
MSI,Notebook,13.3,32,1.31,0,1,208.2,Intel Core i7,0,256,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,108500.0
Dell,Gaming,16.3,8,1.56,0,0,154.0,Intel Core i7,500,512,Intel Integrated,Intel UHD Graphics,Mac,78000.0
Dell,Gaming,12.2,8,1.11,0,0,178.6,AMD Ryzen 7,0,128,Intel Integrated,Intel Iris Xe Graphics,Windows,81100.0
HP,Notebook,11.8,8,2.34,1,1,191.9,AMD Ryzen 5,0,512,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,68500.0
HP,Notebook,13.8,8,1.88,1,0,102.2,Intel Core i5,2048,128,Intel Integrated,Intel UHD Graphics,Windows,44700.0
Apple,Gaming,16.2,4,2.93,0,0,199.5,Intel Core i5,0,1024,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,136300.0
Acer,Notebook,12.9,16,2.24,0,1,205.3,Intel Core i5,2048,256,AMD Radeon,AMD Radeon Vega 8,Linux,58800.0
HP,Ultrabook,13.1,16,2.19,0,0,126.4,Intel Core i5,0,512,Intel Integrated,Intel UHD Graphics,Linux,64300.0
Lenovo,Ultrabook,13.4,8,2.57,0,1,153.2,Intel Core i7,500,512,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,98800.0
Dell,Notebook,16.1,64,1.6,0,0,218.1,Intel Core i5,1024,512,Intel Integrated,Intel UHD Graphics,Windows,107200.0
Dell,Gaming,13.2,8,2.08,0,0,126.3,Intel Core i3,0,256,Nvidia GeForce,Nvidia GeForce MX450,Windows,53100.0
HP,Notebook,13.2,32,1.64,1,0,205.6,Intel Core i7,500,128,Intel Integrated,Intel UHD Graphics,Windows,81500.0
Lenovo,Ultrabook,16.8,16,2.26,0,1,214.6,AMD Ryzen 5,500,128,Intel Integrated,Intel UHD Graphics,Linux,61500.0
Dell,2 in 1 Convertible,13.1,16,2.62,0,0,171.6,Intel Core i7,0,1024,Intel Integrated,Intel UHD Graphics,No OS,81600.0
HP,Ultrabook,11.7,16,2.84,0,1,186.9,Intel Core i3,0,1024,AMD Radeon,AMD Radeon RX 6500M,Windows,79400.0
Lenovo,Notebook,14.4,16,1.18,0,1,141.2,Intel Core i7,1024,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,80800.0
Apple,Ultrabook,12.9,8,1.96,0,1,111.9,AMD Ryzen 5,0,128,Intel Integrated,Intel Iris Xe Graphics,Windows,96400.0
HP,Notebook,14.1,8,2.79,0,0,103.1,Intel Core i7,0,512,Intel Integrated,Intel Iris Xe Graphics,Windows,61900.0
Asus,Ultrabook,12.2,8,2.95,0,1,163.8,Intel Core i3,0,128,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,65700.0
Dell,Gaming,14.2,8,2.81,0,1,137.7,AMD Ryzen 5,1024,512,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,100500.0
Lenovo,Notebook,13.0,32,1.78,1,1,121.3,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,107800.0
Asus,Notebook,14.1,16,2.03,0,1,205.6,Intel Core i7,500,512,Intel Integrated,Intel UHD Graphics,Windows,75800.0
Apple,Notebook,15.0,16,1.77,0,0,189.5,Intel Core i7,500,128,AMD Radeon,AMD Radeon RX 6500M,No OS,109300.0
Dell,Ultrabook,17.2,16,2.74,0,0,134.3,Intel Core i5,0,1024,AMD Radeon,AMD Radeon Vega 8,Windows,76400.0
Lenovo,Ultrabook,15.0,16,2.63,0,1,107.1,Intel Core i3,0,512,Intel Integrated,Intel UHD Graphics,Linux,58400.0
Lenovo,Ultrabook,15.2,32,1.14,0,1,186.7,Intel Core i7,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,99400.0
Acer,Netbook,12.7,64,1.27,0,0,141.0,Intel Core i7,0,128,Nvidia GeForce,Nvidia GeForce RTX 3060,Windows,124200.0
Acer,2 in 1 Convertible,15.1,4,2.03,0,0,148.9,Intel Core i3,0,256,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,68800.0
Dell,2 in 1 Convertible,13.0,16,1.38,0,1,125.3,AMD Ryzen 5,0,512,Intel Integrated,Intel UHD Graphics,Linux,67300.0
HP,Ultrabook,12.9,16,2.96,0,0,177.7,Intel Core i3,0,1024,Intel Integrated,Intel Iris Xe Graphics,Linux,73800.0
Lenovo,Ultrabook,12.9,8,1.65,0,0,210.0,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Windows,87400.0
HP,Ultrabook,12.2,8,2.59,0,1,207.5,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce RTX 4060,No OS,97400.0
Lenovo,2 in 1 Convertible,14.9,32,2.89,0,0,212.4,Intel Core i7,0,256,AMD Radeon,AMD Radeon RX 6600M,Linux,95500.0
Asus,Notebook,13.0,32,1.45,0,0,181.1,AMD Ryzen 7,0,256,AMD Radeon,AMD Radeon Vega 8,Windows,79800.0
Lenovo,Ultrabook,14.2,8,1.8,0,0,192.1,Intel Core i5,1024,1024,Intel Integrated,Intel UHD Graphics,Linux,69500.0
Acer,Gaming,16.1,16,1.17,0,1,115.1,Intel Core i7,0,2048,Nvidia GeForce,Nvidia GeForce MX450,Linux,99800.0
Dell,Notebook,14.5,8,2.69,0,0,140.5,Intel Core i3,0,256,AMD Radeon,AMD Radeon RX 6600M,Windows,41700.0
Apple,Notebook,15.7,32,1.18,0,1,154.6,Intel Core i5,0,256,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,135400.0
Dell,Ultrabook,13.5,8,2.5,0,1,168.5,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce RTX 3050,Windows,84400.0
Apple,Gaming,16.0,16,1.86,0,0,127.4,Intel Core i5,500,512,AMD Radeon,AMD Radeon RX 6500M,Windows,131600.0
Asus,Ultrabook,16.0,8,2.48,0,1,201.7,Intel Core i5,2048,256,AMD Radeon,AMD Radeon RX 6600M,Windows,78600.0
Asus,2 in 1 Convertible,17.0,8,2.48,0,0,182.8,Intel Core i7,0,1024,Intel Integrated,Intel Iris Xe Graphics,Windows,77500.0
HP,Ultrabook,15.5,4,1.62,1,0,165.6,Intel Core i5,0,128,Intel Integrated,Intel Iris Xe Graphics,Linux,59100.0
Asus,Notebook,17.3,16,1.84,0,0,176.4,Intel Core i5,2048,512,AMD Radeon,AMD Radeon RX 6600M,Windows,68800.0
Asus,Notebook,17.0,64,1.85,1,1,137.2,Intel Core i5,1024,512,Nvidia GeForce,Nvidia GeForce GTX 1650,Mac,118200.0
Lenovo,Notebook,11.7,8,2.86,0,1,126.6,Intel Core i5,500,1024,Intel Integrated,Intel UHD Graphics,Windows,60500.0
